Season_field_id;Image_date;Sensor_type;Image_id;LAI_mean
y3bv51g;2020-03-24;SENTINEL_2;IKc73hpUQ6np0rFLc5MVGINGcImhzCeqb4AESqX1tfI;0.51034826
y3bv51g;2020-03-24;SENTINEL_2;IKc73hpUQ6np0rFLc5MVGINGcImhzCepB9R68m8MlSG;0.5101758
y3bv51g;2020-03-22;SENTINEL_2;IKc73hpUQ6nnxtO6q0qz7ONZcgAhLkMqdOwgAfThpRs;0.548154
y3bv51g;2020-03-22;SENTINEL_2;IKc73hpUQ6nnxtO6q0qz7ONZcgAhLkMpDUDXqb52hEq;0.5490339
y3bv51g;2020-03-17;SENTINEL_2;IKc73hpUQ6nlKyRz71OkYTDQP3lBJyRhxqZUFdJE2JY;0.5038118
y3bv51g;2020-03-17;SENTINEL_2;IKc73hpUQ6nlKyRz71OkYTDQP3lBJyRhbrtCfcD3klI;0.50349724
y3bv51g;2020-03-12;SENTINEL_2;IKc73hpUQ6nii154860odWhlFUwIdAUwbamncoJcTHI;0.32187024
y3bv51g;2020-03-12;SENTINEL_2;IKc73hpUQ6nii154860odWhlFUwIdAUvXejwsl17ccW;0.32512492
bg7pjl7;2020-04-26;SENTINEL_2;IKc73hpUQ6o6MWx9U3twc7GU2d5NrDV9LzoxIj1fgyC;2.7452114
bg7pjl7;2020-03-27;SENTINEL_2;IKc73hpUQ6nqaqWWqz11bBDp3K6gCum8LQu5x3EMfRc;2.1661513
bg7pjl7;2020-03-25;SENTINEL_2;IKc73hpUQ6npXzRm7c0R9nbA4JAmixAzuogNvnsOTFE;2.3634405
bg7pjl7;2020-03-02;SENTINEL_2;IKc73hpUQ6ndS90WO8OXaohMbEankEAWZz8TVPUe7hU;2.386139
